escenario;avg. trip duration [s]
escenario 1;176.28
escenario 1;176.28
escenario 1;176.28
escenario 1;176.33
escenario 1;176.81
escenario 1;176.88
escenario 1;176.88
escenario 1;176.93
escenario 1;176.93
escenario 1;176.93
escenario 1;177.04
escenario 1;177.04
escenario 1;177.24
escenario 1;177.24
escenario 1;177.24
escenario 1;177.34
escenario 1;177.34
escenario 1;177.34
escenario 1;177.34
escenario 1;177.34
escenario 1;177.34
escenario 1;177.34
escenario 1;177.34
escenario 1;177.40
escenario 1;177.40
escenario 1;177.40
escenario 1;177.40
escenario 1;177.40
escenario 1;177.40
escenario 1;177.50
escenario 1;177.50
escenario 1;177.50
escenario 1;177.50
escenario 1;177.50
escenario 1;177.50
escenario 1;177.50
escenario 1;177.50
escenario 1;177.66
escenario 1;177.66
escenario 1;177.66
escenario 1;177.66
escenario 1;177.66
escenario 1;178.47
escenario 1;178.47
escenario 1;178.47
escenario 1;178.47
escenario 1;178.56
escenario 1;178.56
escenario 1;178.74
escenario 1;179.23
escenario 1;179.23
escenario 1;179.23
escenario 1;179.23
escenario 1;179.23
escenario 1;179.23
escenario 1;179.23
escenario 1;179.34
escenario 1;179.34
escenario 1;179.43
escenario 1;180.08
escenario 1;180.08
escenario 1;180.63
escenario 1;180.63
escenario 1;180.63
escenario 1;180.63
escenario 1;180.63
escenario 1;180.63
escenario 1;180.63
escenario 1;180.63
escenario 1;180.63
escenario 1;180.63
escenario 1;180.63
escenario 1;180.63
escenario 1;180.63
escenario 1;180.63
escenario 1;180.63
escenario 1;180.76
escenario 1;180.76
escenario 1;180.76
escenario 1;180.76
escenario 1;180.76
escenario 1;180.76
escenario 1;180.76
escenario 1;180.76
escenario 1;180.76
escenario 1;180.76
escenario 1;180.76
escenario 1;181.09
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.20
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.51
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;181.80
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;182.53
escenario 1;183.33
escenario 1;183.33
escenario 1;183.33
escenario 1;183.33
escenario 1;183.33
escenario 1;183.33
escenario 1;183.33
escenario 1;183.33
escenario 1;183.33
escenario 1;183.33
escenario 1;183.33
escenario 1;183.33
escenario 1;183.33
escenario 1;183.73
escenario 1;183.73
escenario 1;183.73
escenario 1;183.73
escenario 1;183.73
escenario 1;183.73
escenario 1;183.73
escenario 1;183.73
escenario 1;183.73
escenario 1;183.73
escenario 1;184.52
escenario 1;184.52
escenario 1;184.52
escenario 1;184.52
escenario 1;184.52
escenario 1;184.52
escenario 1;185.32
escenario 1;185.32
escenario 1;185.32
escenario 1;185.32
escenario 1;185.32
escenario 1;185.32
escenario 1;185.32
escenario 1;185.32
escenario 1;185.32
escenario 1;185.32
escenario 1;185.32
escenario 1;185.32
escenario 1;185.32
escenario 1;185.58
escenario 1;185.58
escenario 1;185.58
escenario 1;185.58
escenario 1;185.58
escenario 1;185.58
escenario 1;185.58
escenario 1;185.58
escenario 1;185.58
escenario 1;185.58
escenario 1;185.58
escenario 1;186.02
escenario 1;186.02
escenario 1;186.02
escenario 1;186.02
escenario 1;186.02
escenario 1;186.02
escenario 1;186.02
escenario 1;186.02
escenario 1;186.02
escenario 1;186.02
escenario 1;186.02
escenario 1;186.02
escenario 1;186.02
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;186.78
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
